search_category,time,tweet_text
rain,2019-06-21 04:18:28,@ItsSamG If that man isn't around to walk in the rain then he be to the curb himself.
rain,2019-06-21 04:18:30,RT @OBXPhotos: @SamWalkerOBX @OBXtoday @NWSMoreheadCity Caught this on Bay Drive out over the Bay this afternoon just as the storm was appr…
sun,2019-06-21 04:18:32,Download this app. I can clear the unfollowers from this ANDROİD app .541 https://t.co/W6Dvye0m03
rain,2019-06-21 04:18:34,"Eggleston Hill (Otsego County, NY) https://t.co/sKZ9zebm7B https://t.co/0duxJv0PHk"
rain,2019-06-21 04:18:36,Top 5 Literal Road Trips!
sun,2019-06-21 04:18:38,"Public Health: With death rates climing, it's clear Sudbury needs a permanent safe injection site https://t.co/dqzEZlfB22"
rain,2019-06-21 04:18:40,"RT @ByTimReynolds: Thunder fans, hear me now and believe me later ... Bazley is the real thing."
sun,2019-06-21 04:18:42,RT @FemFoxx: @SenGillibrand You wanna talk about Human rights?  STFU til you clear your family’s name involved in this sex slave ring &amp; abu…
rain,2019-06-21 04:18:44,@heyyjimin forever rain hits hard 😔 👊
rain,2019-06-21 04:21:00,.
rain,2019-06-21 04:21:02,"RT @TIMENOUT: THE KOCH BROTHERS, GEORGE SOROS and OTHER WEALTHY INDIVIDUALS, FLOOD THE DEMOCRAT AND REPUBLICAN PARTIES WITH MILLIONS OF DOL…"
sun,2019-06-21 04:21:04,@chandler_solis Dragan Bender is a still a Phoenix Sun. HOW
rain,2019-06-21 04:21:06,0001
rain,2019-06-21 04:21:08,RT @abc13houston: Galveston Seawall may be underwater by 2100: Report https://t.co/5AFlgTtR1m
rain,2019-06-21 04:21:10,@tothenightskies HIMSELF 
rain,2019-06-21 04:21:12,Come on New York got your game up!!!!!!! https://t.co/VDpci5g0hE
sun,2019-06-21 04:21:14,Nvm he’s a sun I can like him again
sun,2019-06-21 04:21:16,Listen to this man. Don’t take the Bible literal. On one special Dec 21-25 the sun will disappear and rise again.
rain,2019-06-21 04:21:18,RT @staydowntp: This that get you a uptown nigga weather 😩 https://t.co/nJuM6fpuos
sun,2019-06-21 04:21:20,RT @jabbyjanene: So I am clear...carly was not allowed to go to the pcpd to see her daughter because it's too stressful but he willingly kn…
sun,2019-06-21 04:21:22,"RT @sunnchans: good morning to you mr sun, the center of the solar system, the source of energy, the reason to my whole being. i love you s…"
rain,2019-06-21 04:21:24,0.047 800 hits different 😳
sun,2019-06-21 04:21:26,"...or details on the bag check. The ""bag check"" was a shambles, no clear paths in or out, and some distance from th… https://t.co/y3MTo65Eyj"
sun,2019-06-21 04:21:28,@PHZ_Sicks Have you seen how pale Baynes is? The literal Phoenix Sun will kill him!
sun,2019-06-21 04:21:30,We’re 2 days away from the sexiest bikini cruise this summer... ☀SUN SPLASH💦
rain,2019-06-21 04:21:32,Not never RT @Faviola_Belle: Carl Thomas gave us Summer Rain #NeverForget
rain,2019-06-21 04:21:34,@wizcarat They did nothing wrong. The flight was delayed 30 mins due to weather. Then svt paperwork delayed it anot… https://t.co/O6uW7IkL9u
rain,2019-06-21 04:21:36,"RT @MyNews13Weather: It will be a quiet end to our work week, but HOT. High humidity around will make it feel more like 100 degrees! https:…"
sun,2019-06-21 04:21:38,@d_gill88 @JimKilbane Yep. You beat me to it. 🧟‍♂️
rain,2019-06-21 04:21:40,"RT @ABC: Strong storm system moving toward East Coast, with more flash flooding possible. https://t.co/FJOuXYIhMp"
sun,2019-06-21 04:21:42,"RT @RepAdamSchiff: Trump has shown us time and time again,"
sun,2019-06-21 04:21:44,"RT @LeoDiCaprio: Extreme weather events are happening more often, creating natural hazards and conflicts over scarce resources leading to d…"
sun,2019-06-21 04:21:46,"RT @pwafork: Now let's all stop and ask ourselves why none of this journalism was committed during Biden's eight years as veep (""a heartbea…"
rain,2019-06-21 04:21:48,Everything just feels off...
sun,2019-06-21 04:21:50,RT @staydowntp: This that get you a uptown nigga weather 😩 https://t.co/nJuM6fpuos
rain,2019-06-21 04:21:52,RT @staydowntp: This that get you a uptown nigga weather 😩 https://t.co/nJuM6fpuos
sun,2019-06-21 04:21:54,RT @BET: The 2019 BET Awards Best Movie nominees are…
sun,2019-06-21 04:21:56,@atrupar The best people!
rain,2019-06-21 04:21:58,RT @BangorWalesNews: The weather’s looking good for Bangor Market this Friday ☀️ and Stall Tatws have some amazing tasting produce you can…
sun,2019-06-21 04:22:00,Basking under the sun—a sneak peek at Alan &amp; Tanya’s #coffeetable - the legs are brushed steel trapezoids and they… https://t.co/mnTm2g5H9t
rain,2019-06-21 04:22:02,"RT @ByTimReynolds: Thunder fans, hear me now and believe me later ... Bazley is the real thing."
sun,2019-06-21 04:22:04,RT @tovaramyy: and y’all prefer this shit over winter ? TRIPPENNN https://t.co/P7GEBShVFK
sun,2019-06-21 04:22:06,RT @LaurieJasperNH: @LindseyGrahamSC @chuckschumer Amen! I was outraged by @SenSchumer’s flippant remarks today. Crystal clear the democrat…
rain,2019-06-21 04:22:08,RT @jepence: Waiting in tents in extreme summer heat and rain to hear from a “Politician”?
sun,2019-06-21 04:22:10,RT @namjoohyukpic: sunshine https://t.co/zZwHLSc6Kw
rain,2019-06-21 04:22:12,"RT @njjoons: mono is untouchable from tokyo, seoul, moonchild, badbye, uhgood, everythingoes and forever rain. a flawless mixtape with zero…"
rain,2019-06-21 04:22:14,@keeruushii not me😜
rain,2019-06-21 04:22:16,"RT @ErikHorneOK: An interesting story behind 19-year-old Darius Bazley, who the Thunder gets at No. 23 overall: https://t.co/jwfFkCiOr7"
rain,2019-06-21 04:22:18,Welcome to the family 😀❤️ #GCWCrushedUp
rain,2019-06-21 04:22:20,"RT @FatherBob: Gunna rain for days....must buy a few those basic umbrellas to hand up to local street philosophers...yes, “hand up” because…"
sun,2019-06-21 04:22:22,"RT @BOM_au: Tonight the sun will be directly over the Tropic of Cancer, marking the southern #WinterSolstice (longest night / shortest day…"
sun,2019-06-21 04:22:24,"RT @MoonsLounge: Wishing our dearest kind-hearted, heart-warming, adorable, lovable and generous Super Junior eternal maknae to be filled w…"
sun,2019-06-21 04:22:26,RT @sarahkendzior: Great to see @janschakowsky change her mind and call for an impeachment inquiry.
sun,2019-06-21 04:22:28,"RT @FamousWomen: When I let go of what's not meant to be, I clear a path for good stuff to find me!"
rain,2019-06-21 04:22:30,"@MelBlanc10 @softly_sighing2 Ming Tay, Chinese place right across the bridge, killer food.  Now what are these ""str… https://t.co/epEriBZpek"
sun,2019-06-21 04:22:32,RT @almostjingo: Let’s be really clear on this: @RepJerryNadler only see’s women via what men they’ve dated. Do any of the Democrats see ho…
rain,2019-06-21 04:22:34,RT @xxcubs: see you in the showers 😉 https://t.co/OD4isCbiyx
rain,2019-06-21 04:22:36,@algorithmoflife Flirting??? I was making small talk! I had already talked about the weather to previous 3 employee… https://t.co/8qBmrB21sA
sun,2019-06-21 04:22:38,i see every red flag loud and clear
rain,2019-06-21 04:22:40,RT @rachsyme: ok i have officially decided that a weeklong run of seasonal depression weather in the summer is twice as bad as any snowstor…
rain,2019-06-21 04:22:42,ans like i worked so fucking hard this semester i wouLD LIKE SOME SUMMER WEATHER
sun,2019-06-21 04:22:44,RT @mariaajudice: @SFUrbanFilmFest @shegotplans A Raisin in the Sun #housing
sun,2019-06-21 04:22:46,☑︎ Materials for #JSM2019 Teaching Data Science workshop 
rain,2019-06-21 04:22:48,RT @AmyMek: Warning Italy! 
rain,2019-06-21 04:22:50,RT @robertdunlap947: House Judiciary Releases Hope Hicks Transcripts - White House Counsel Only Let Hicks Answer Questions About the Weathe…
sun,2019-06-21 04:22:52,"@sassycrass You can have the secret satisfaction of waiting until she's 40 and going, oh look my arm is as wrinkled… https://t.co/S2zvMwPgyZ"
sun,2019-06-21 04:22:54,"From the rising of the sun to the place where it sets, the name of the Lord is to be pra…"
rain,2019-06-21 04:22:56,"RT @OneTrueMistress: It was such a hot day yesterday, so I found some rain water on the roof and splashed my feet around a little bit"
sun,2019-06-21 04:22:58,RT @vulcansketch: classic always sunny screencap redraw for whenever i get into something new lmao #goodomens https://t.co/O3R2w0cJfW
sun,2019-06-21 04:23:00,RT @thefalcongrind: Congrats @_pabloruizz_ 🔥💯💪🏻 https://t.co/SwlMsA4UoN @FHH_FalconFury
